,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,1102,Sales,-2.574707937058622,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,-1.4057109449204446,19479,-0.1057624082287157,Y,Yes,-2.078053630500555,3,1,80,0,-1.2663434762031252,-1.1605451395565365,1,-1.9245244346273156,-1.1426723700634178,-7.396026717919092,-0.9579128130454208
1,49,No,Travel_Frequently,279,Research & Development,-1.1863189496336963,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,-1.6234639426065223,24907,-1.706710772284081,Y,No,-0.13676606833775615,4,4,80,1,-1.1187656458199815,-0.49085697927997995,3,-1.3985100351935054,-0.771227074961725,-4.523082820471526,-0.7251836469477903
2,37,Yes,Travel_Rarely,1373,Research & Development,-2.2321870268515034,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,-2.972129268222529,2396,-0.3613087125285444,Y,Yes,-0.9830075699160551,3,2,80,0,-1.3492148286334933,-0.49085697927997995,3,-3.6605828468675186,-2.0852719998620386,-7.396026717919092,-2.049313006197339
3,33,No,Travel_Frequently,1392,Research & Development,-1.9708758301539278,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,-2.465568544911576,23159,-1.706710772284081,Y,Yes,-2.078053630500555,3,3,80,0,-1.2663434762031252,-0.49085697927997995,3,-1.6323476488272097,-0.771227074961725,-2.333432968410941,-2.049313006197339
4,27,No,Travel_Rarely,591,Research & Development,-2.2321870268515034,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,-2.198658322488484,16632,0.0,Y,No,-1.6659731494614012,3,4,80,1,-1.4396033284659837,-0.49085697927997995,3,-2.8367967457716725,-1.5011592717390545,-3.148094393277722,-1.4582263193645346
5,32,No,Travel_Frequently,1005,Research & Development,-2.2321870268515034,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,-2.384399374687842,11864,-2.505117278969571,Y,No,-1.381389259093061,3,3,80,0,-1.2663434762031252,-0.6811435281874978,2,-1.7696470301171907,-0.771227074961725,-2.333432968410941,-0.8349159008190632
6,59,No,Travel_Rarely,1324,Research & Development,-1.9708758301539278,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,-2.5967635810255834,9964,-0.7107905014619298,Y,Yes,-0.38102617101547404,4,1,80,3,-0.9902093781930152,-0.49085697927997995,2,-3.1964293344001136,-2.0852719998620386,-7.396026717919092,-2.049313006197339
7,30,No,Travel_Rarely,1358,Research & Development,-0.17667468994192637,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,-2.5836199063552434,13335,-1.706710772284081,Y,No,-0.2121863285699773,4,2,80,1,-2.081668746795951,-0.6811435281874978,3,-3.1964293344001136,-2.0852719998620386,-7.396026717919092,-2.049313006197339
8,38,No,Travel_Frequently,216,Research & Development,-0.21645655159686278,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,-0.8030546658666958,8787,-2.505117278969571,Y,No,-0.2932804246121984,4,2,80,0,-1.1187656458199815,-0.6811435281874978,3,-1.509442698361367,-0.771227074961725,-4.523082820471526,-0.6260122318518045
9,36,No,Travel_Rarely,1299,Research & Development,-0.06665587931248353,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,-1.5941537407901047,16577,-0.3613087125285444,Y,No,-1.381389259093061,3,2,80,2,-0.7266006547279215,-0.49085697927997995,2,-1.7696470301171907,-0.771227074961725,-0.8815594121858318,-0.7251836469477903
