"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,21,0.05,80,25,5,0.83814138245053,0.53491230546373,0.639114219114219,0.572485250461835,0.579568655050538,0.0504112127881385,0.229385260905072
"3",2,43,0.05,80,25,6,0.830437796936984,0.557566844919786,0.617622377622378,0.584657713154843,0.569353938409095,0.0223050145260156,0.215858466390696
"4",3,85,0.05,80,25,7,0.834354816652733,0.572004259425643,0.605547785547786,0.584462552582506,0.579543028947103,0.0114320045534077,0.212119851868477
"5",4,171,0.05,80,25,8,0.833387979440883,0.571205471392734,0.559440559440559,0.563046717727312,0.572587031349827,0.00730898964322611,0.211389260506625
"6",5,341,0.05,80,25,9,0.834172231230012,0.574771877493062,0.611468531468531,0.589582465012457,0.576182854100033,0.0061850424651418,0.207641042065166
"7",6,683,0.05,80,25,10,0.834922824084934,0.61162040435346,0.565501165501165,0.586482482782567,0.576370821494722,0.0039346923287729,0.194961283806531
"8",7,21,0.05,80,26,5,0.833186947856669,0.540699861513721,0.636596736596737,0.583358172412478,0.578375008075943,0.0494749009813157,0.221901559197339
"9",8,43,0.05,80,26,6,0.840616503671033,0.555420231651243,0.666480186480186,0.60459400494373,0.583040716038461,0.0243628295848506,0.213625229432797
"10",9,85,0.05,80,26,7,0.842025424126798,0.585038366370286,0.578974358974359,0.568157224470487,0.580287039529767,0.0112436773620603,0.207631438145927
"11",10,171,0.05,80,26,8,0.834602328200673,0.555197237511338,0.593240093240093,0.56966192081822,0.578699832195486,0.00768264295582894,0.217412662126556
"12",11,341,0.05,80,26,9,0.832791674115747,0.5838038758869,0.62018648018648,0.588562377054382,0.565592566471592,0.00412336361911588,0.208349231287173
"13",12,683,0.05,80,26,10,0.830858868894926,0.56859179217037,0.620792540792541,0.591928460985914,0.573286410307356,0.00356086186281156,0.209927657480108
"14",13,21,0.05,80,27,5,0.830583093900665,0.523362377525897,0.63002331002331,0.568048488321573,0.575559006081594,0.0475985522079213,0.234677797966323
"15",14,43,0.05,80,27,6,0.829359785576721,0.562327116337183,0.602424242424242,0.578863134933954,0.570228309142318,0.0241748540659696,0.216665258652249
"16",15,85,0.05,80,27,7,0.838898519013784,0.58593866626091,0.602331002331002,0.589727189631761,0.586633205754024,0.0127430372029231,0.204625117211947
"17",16,171,0.05,80,27,8,0.826595328878468,0.550673126472176,0.59034965034965,0.568357374328344,0.563631327006802,0.00693480849264244,0.218865880111985
