"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,601,0.06985,10,3,4,0.83153868716378,0.794733446519524,0.272400932400932,0.402512990885084,0.552800038020808,0.151236324312269,0.197109262339145
"3",2,289,0.06985,10,3,4,0.828120778782815,0.860705882352941,0.226433566433566,0.351436206070352,0.551021594155489,0.153859748884653,0.201650192897975
"4",3,139,0.06985,10,3,4,0.833686811275846,0.830441136323489,0.266340326340326,0.395178615034509,0.558661341267981,0.146738956037366,0.197145618532328
"5",4,65,0.06985,10,3,4,0.823630872272072,0.867133258678611,0.296177156177156,0.426908975979772,0.542572516729291,0.151054854404734,0.189671793940662
"6",5,30,0.06985,10,3,4,0.840071706941073,0.839651294460732,0.309184149184149,0.443082247155562,0.567211343641939,0.151611733023672,0.186653137119169
"7",6,601,0.06985,10,3,5,0.830453156681914,0.76247635217075,0.25990675990676,0.372309067813172,0.558447389002276,0.129121868517212,0.200180225845513
"8",7,289,0.06985,10,3,5,0.823062424497329,0.837590028515154,0.293752913752914,0.43275095975537,0.55596231169665,0.133994561207496,0.188115811917854
"9",8,139,0.06985,10,3,5,0.813069902857105,0.821960784313726,0.256456876456876,0.379996832435857,0.53451894253084,0.125179360695941,0.200134665020761
"10",9,65,0.06985,10,3,5,0.823544523223849,0.866496865203762,0.244988344988345,0.367471279983229,0.537657084783008,0.134936464211396,0.200141978289679
"11",10,30,0.06985,10,3,5,0.804468558222068,0.77104662004662,0.238321678321678,0.343417436808509,0.52666391685822,0.130810642177829,0.210600835477928
"12",11,601,0.06985,10,4,4,0.821513203559162,0.908888888888889,0.237808857808858,0.351675727134723,0.548514326320488,0.1570485939631,0.200175644544869
"13",12,289,0.06985,10,4,4,0.826888575195063,0.808178314060667,0.256969696969697,0.382990496088707,0.558566060662809,0.154612555496006,0.200913507145358
"14",13,139,0.06985,10,4,4,0.810027943666927,0.765779220779221,0.29990675990676,0.42516568822937,0.534229899704724,0.153299762508471,0.194124040606295
"15",14,65,0.06985,10,4,4,0.820083450365703,0.806477677919803,0.287319347319347,0.414615239893435,0.547121495848172,0.150671011810485,0.194129693679108
"16",15,30,0.06985,10,4,4,0.823454122679777,0.859319238266607,0.244615384615385,0.372645633935957,0.544038059178495,0.154985801487597,0.197155810875503
"17",16,601,0.06985,10,4,5,0.812807059695637,0.785602426247587,0.296969696969697,0.426295531915173,0.548454123831881,0.134747489652943,0.191852766243968
"18",17,289,0.06985,10,4,5,0.824858752235729,0.817615108004124,0.265874125874126,0.396297469821106,0.555982918871542,0.133058009683861,0.196424694135137
"19",18,139,0.06985,10,4,5,0.815472527734978,0.751361274890687,0.235757575757576,0.353744928664233,0.55063175971135,0.133807904131083,0.209146461659767
"20",19,65,0.06985,10,4,5,0.830258843335539,0.781428571428571,0.266433566433566,0.391644381796954,0.565477434466694,0.134180724691188,0.199364817376327
"21",20,30,0.06985,10,4,5,0.8190717544774,0.778273590477488,0.26,0.380254134891703,0.546761703262415,0.132682950339956,0.203143886044139
"22",21,601,0.06985,11,3,4,0.829355739247863,0.784419772256729,0.320652680652681,0.439937651188984,0.555872914104151,0.141868463604965,0.194177503123901
"23",22,289,0.06985,11,3,4,0.833119292411446,0.715489082719395,0.400559440559441,0.489915841234381,0.550241734106305,0.142052741953011,0.192645667497605
"24",23,139,0.06985,11,3,4,0.833160502617426,0.730228758169934,0.335990675990676,0.433825367993299,0.550362382371075,0.136809297247971,0.201628841515158
"25",24,65,0.06985,11,3,4,0.831896271142614,0.808204902157216,0.315571095571096,0.434267892277637,0.561060760491042,0.139616657715812,0.193399228408099
"26",25,30,0.06985,11,3,4,0.827668477525135,0.73759720371162,0.354731934731935,0.472848620586691,0.539651146336899,0.147299650039138,0.19341330855228
